name	id	rate
Autauga	01001	0.2961135
Baldwin	01003	0.1860556
Bibb	01007	0.1498258
Blount	01009	0.1708333
Calhoun	01015	0.2768251
Chilton	01021	0.2034346
Colbert	01033	0.1283826
Elmore	01051	0.2684452
Etowah	01055	0.1887967
Geneva	01061	0.2068966
Hale	01065	0.1325758
Henry	01067	0.1563275
Houston	01069	0.254065
Jefferson	01073	0.1886222
Lauderdale	01077	0.1398124
Lawrence	01079	0.1951641
Lee	01081	0.2037957
Limestone	01083	0.2154622
Lowndes	01085	0.0973451
Madison	01089	0.2030331
Mobile	01097	0.2824808
Montgomery	01101	0.3145125
Morgan	01103	0.2424569
Pickens	01107	0.1521739
Russell	01113	0.4414802
St. Clair	01117	0.1986422
Shelby	01115	0.229606
Tuscaloosa	01125	0.1674491
Walker	01127	0.1864235
Cochise	04003	0.4472418
Coconino	04005	0.1598069
Maricopa	04013	0.2768838
Mohave	04015	0.2607945
Pima	04019	0.3343812
Pinal	04021	0.4135802
Yavapai	04025	0.2585856
Yuma	04027	0.3844732
Benton	05007	0.1053501
Cleveland	05025	0.1450382
Craighead	05031	0.0901398
Crawford	05033	0.1078968
Crittenden	05035	0.1986456
Faulkner	05045	0.1216656
Garland	05051	0.1564268
Grant	05053	0.176781
Jefferson	05069	0.2777101
Lincoln	05079	0.1666667
Little River	05081	0.1111111
Lonoke	05085	0.1879518
Madison	05087	0.1188811
Miller	05091	0.1686587
Perry	05105	0.1103448
Poinsett	05111	0.1064935
Pulaski	05119	0.138757
Saline	05125	0.1631609
Sebastian	05131	0.122154
Washington	05143	0.0814839
Alameda	06001	0.0595806
Butte	06007	0.1814766
Contra Costa	06013	0.1399704
El Dorado	06017	0.169441
Fresno	06019	0.2753044
Imperial	06025	0.3340445
Kern	06029	0.3547422
Kings	06031	0.458569
Los Angeles	06037	0.1322539
Madera	06039	0.3215453
Marin	06041	0.0263629
Merced	06047	0.3121252
Monterey	06053	0.1676572
Napa	06055	0.1068908
Orange	06059	0.0922315
Placer	06061	0.1955232
Riverside	06065	0.3064748
Sacramento	06067	0.2358657
San Benito	06069	0.2641903
San Bernardino	06071	0.2832423
San Diego	06073	0.2032806
San Francisco	06075	0.0104239
San Joaquin	06077	0.2482141
San Luis Obispo	06079	0.139553
San Mateo	06081	0.0220647
Santa Barbara	06083	0.1634361
Santa Clara	06085	0.0339028
Santa Cruz	06087	0.0686262
Shasta	06089	0.2726936
Solano	06095	0.2638017
Sonoma	06097	0.1028848
Stanislaus	06099	0.2750864
Sutter	06101	0.2598891
Tulare	06107	0.3723623
Ventura	06111	0.1468869
Yolo	06113	0.1589177
Yuba	06115	0.3986928
Adams	08001	0.2941439
Arapahoe	08005	0.2426124
Boulder	08013	0.0714286
Broomfield	08014	0.113455
Clear Creek	08019	0.2247619
Denver	08031	0.1364708
Douglas	08035	0.1694753
El Paso	08041	0.368264
Elbert	08039	0.2627781
Gilpin	08047	0.2277778
Jefferson	08059	0.1605306
Larimer	08069	0.1353025
Mesa	08077	0.3425641
Park	08093	0.2313916
Pueblo	08101	0.3604958
Teller	08119	0.2714617
Weld	08123	0.2596282
Fairfield	09001	0.1000047
Hartford	09003	0.1887397
Middlesex	09007	0.1735301
New Haven	09009	0.194176
New London	09011	0.1629834
Tolland	09013	0.1773691
Windham	09015	0.2424581
Kent	10001	0.3904488
New Castle	10003	0.258488
Sussex	10005	0.1324249
District of Columbia	11001	0.076505
Alachua	12001	0.1882129
Baker	12003	0.2128603
Bay	12005	0.210424
Brevard	12009	0.2507527
Broward	12011	0.2486154
Charlotte	12015	0.2570453
Citrus	12017	0.2381227
Clay	12019	0.362809
Collier	12021	0.1551361
Duval	12031	0.2477095
Escambia	12033	0.2197022
Flagler	12035	0.2772063
Gadsden	12039	0.2175824
Gilchrist	12041	0.2355372
Gulf	12045	0.1030151
Hernando	12053	0.3971992
Highlands	12055	0.2186747
Hillsborough	12057	0.2867912
Indian River	12061	0.2262915
Jefferson	12065	0.1647727
Lake	12069	0.2945316
Lee	12071	0.2499239
Leon	12073	0.1198449
Manatee	12081	0.2065227
Marion	12083	0.2250727
Martin	12085	0.1732739
Miami-Dade	12086	0.2297409
Nassau	12089	0.2055443
Okaloosa	12091	0.2147541
Orange	12095	0.2568767
Osceola	12097	0.4024198
Palm Beach	12099	0.2098853
Pasco	12101	0.3216732
Pinellas	12103	0.2027607
Polk	12105	0.3798773
St. Johns	12113	0.2608837
St. Lucie	12115	0.1788854
Santa Rosa	12117	0.229052
Sarasota	12109	0.1838952
Seminole	12111	0.3258364
Sumter	12119	0.1393908
Volusia	12127	0.292028
Wakulla	12129	0.2270804
Walton	12131	0.1112366
Baker	13007	0.1212121
Barrow	13013	0.3440613
Bartow	13015	0.2930216
Bibb	13021	0.2339015
Brantley	13025	0.1308017
Brooks	13027	0.1240602
Bryan	13029	0.3071066
Burke	13033	0.1262799
Butts	13035	0.3185328
Carroll	13045	0.2737946
Catoosa	13047	0.2901343
Chatham	13051	0.2611796
Chattahoochee	13053	0.4482759
Cherokee	13057	0.2356507
Clarke	13059	0.1212371
Clayton	13063	0.5304236
Cobb	13067	0.2089958
Columbia	13073	0.2637267
Coweta	13077	0.2808945
Crawford	13079	0.1626506
Dade	13083	0.1658768
Dawson	13085	0.2082474
DeKalb	13089	0.1896261
Dougherty	13095	0.1967655
Douglas	13097	0.4284094
Echols	13101	0.1034483
Effingham	13103	0.3684492
Fayette	13113	0.2449324
Floyd	13115	0.1754386
Forsyth	13117	0.1360947
Fulton	13121	0.1509679
Glynn	13127	0.1815562
Gwinnett	13135	0.2805707
Hall	13139	0.2690642
Haralson	13143	0.1988417
Harris	13145	0.3175614
Heard	13149	0.2204301
Henry	13151	0.4589885
Houston	13153	0.315625
Jasper	13159	0.2342342
Jones	13169	0.1967213
Lamar	13171	0.2931596
Lanier	13173	0.2254545
Lee	13177	0.1993355
Liberty	13179	0.4898891
Lincoln	13181	0.092437
Long	13183	0.4879852
Lowndes	13185	0.1954685
McDuffie	13195	0.1975309
McIntosh	13197	0.25
Madison	13189	0.152648
Marion	13191	0.1333333
Meriwether	13199	0.2599278
Monroe	13207	0.169844
Morgan	13211	0.1503006
Murray	13213	0.2592593
Muscogee	13215	0.3404899
Newton	13217	0.4380881
Oconee	13219	0.1050505
Oglethorpe	13221	0.2147436
Paulding	13223	0.3893849
Peach	13225	0.2787879
Pickens	13227	0.208413
Pike	13231	0.2318501
Pulaski	13235	0.2142857
Richmond	13245	0.3304835
Rockdale	13247	0.4715938
Spalding	13255	0.3336192
Terrell	13273	0.0957447
Twiggs	13289	0.25
Walker	13295	0.231982
Walton	13297	0.3218673
Whitfield	13313	0.2103365
Worth	13321	0.1682848
Ada	16001	0.1890944
Bannock	16005	0.1662437
Boise	16015	0.1982507
Bonneville	16019	0.1469326
Butte	16023	0.1395349
Canyon	16027	0.3142613
Franklin	16041	0.1759776
Gem	16045	0.3032787
Jefferson	16051	0.1580796
Kootenai	16055	0.1518574
Nez Perce	16069	0.1659427
Owyhee	16073	0.2899628
Alexander	17003	0.1162791
Bond	17005	0.1428571
Boone	17007	0.154973
Calhoun	17013	0.0813954
Champaign	17019	0.0456349
Clinton	17027	0.1137966
Cook	17031	0.1217732
DeKalb	17039	0.0634146
De Witt	17037	0.1682958
DuPage	17043	0.1079084
Ford	17053	0.0460123
Grundy	17063	0.1543837
Henry	17073	0.0824981
Jackson	17077	0.0872314
Jersey	17083	0.1706349
Kane	17089	0.1951361
Kankakee	17091	0.1607294
Kendall	17093	0.2663561
Lake	17097	0.1352899
McHenry	17115	0.1014692
McLean	17117	0.1131008
Macon	17119	0.2064336
Macoupin	17123	0.106383
Madison	17111	0.1941683
Marshall	17113	0.04999
Menard	17129	0.0733496
Mercer	17131	0.1148325
Monroe	17133	0.1299694
Peoria	17143	0.132111
Piatt	17147	0.0759754
Rock Island	17161	0.1080783
St. Clair	17167	0.1094284
Sangamon	17163	0.2867219
Stark	17175	0.1204819
Tazewell	17179	0.1393247
Vermilion	17183	0.1252174
Will	17197	0.2004291
Williamson	17199	0.1158741
Winnebago	17201	0.134936
Woodford	17203	0.0742115
Allen	18003	0.2140644
Bartholomew	18005	0.1381283
Benton	18007	0.1428571
Boone	18011	0.1294559
Brown	18013	0.1837838
Carroll	18015	0.166348
Clark	18019	0.2638967
Clay	18021	0.1666667
Dearborn	18029	0.1576633
Delaware	18035	0.2442711
Elkhart	18039	0.1955857
Floyd	18043	0.198416
Hamilton	18057	0.1446273
Hancock	18059	0.2823816
Harrison	18061	0.1928983
Hendricks	18063	0.2556863
Howard	18067	0.3053774
Jasper	18073	0.2373678
Johnson	18081	0.2581045
Lake	18091	0.2128174
LaPorte	18089	0.2532456
Madison	18095	0.2813117
Marion	18097	0.2778873
Monroe	18105	0.1272446
Morgan	18109	0.2411817
Newton	18111	0.2445652
Ohio	18115	0.1684783
Owen	18119	0.1708738
Porter	18127	0.2307413
Posey	18129	0.1454784
Putnam	18133	0.2298387
St. Joseph	18143	0.1680162
Scott	18145	0.2156489
Shelby	18141	0.2042109
Sullivan	18153	0.2044025
Tippecanoe	18157	0.2113061
Union	18161	0.1343284
Vanderburgh	18163	0.218726
Vermillion	18165	0.1477987
Vigo	18167	0.2165297
Warrick	18173	0.168265
